Id,Target,m_rate
mixed_img0,25,1_0
mixed_img1,25,1_0
mixed_img2,25,1_0
mixed_img3,25,1_0
mixed_img4,25,1_0
mixed_img5,25,1_0
mixed_img6,25,1_0
mixed_img7,25,1_0
mixed_img8,25,1_0
mixed_img9,25,1_0
mixed_img10,25,1_0
mixed_img11,25,1_0
mixed_img12,25,1_0
mixed_img13,25,1_0
mixed_img14,25,1_0
mixed_img15,25,1_0
mixed_img16,25,1_0
mixed_img17,25,1_0
mixed_img18,25,1_0
mixed_img19,25,1_0
mixed_img20,25,1_0
mixed_img21,25,1_0
mixed_img22,25,1_0
mixed_img23,25,1_0
mixed_img24,25,1_0
mixed_img25,25,1_0
mixed_img26,25 0,0.25_0.75
mixed_img27,25 0,0.25_0.75
mixed_img28,25 0,0.25_0.75
mixed_img29,25 0,0.25_0.75
mixed_img30,25 0,0.25_0.75
mixed_img31,25 0,0.25_0.75
mixed_img32,25 0,0.25_0.75
mixed_img33,25 0,0.25_0.75
mixed_img34,25 0,0.25_0.75
mixed_img35,25 0,0.25_0.75
mixed_img36,25 0,0.25_0.75
mixed_img37,25 0,0.25_0.75
mixed_img38,25 0,0.25_0.75
mixed_img39,25 0,0.25_0.75
mixed_img40,25 0,0.25_0.75
mixed_img41,25 0,0.25_0.75
mixed_img42,25 0,0.25_0.75
mixed_img43,25 0,0.25_0.75
mixed_img44,25 0,0.25_0.75
mixed_img45,25 0,0.25_0.75
mixed_img46,25 0,0.25_0.75
mixed_img47,25 0,0.25_0.75
mixed_img48,25 0,0.25_0.75
mixed_img49,25 0,0.25_0.75
mixed_img50,25 0,0.25_0.75
mixed_img51,25 0,0.25_0.75
mixed_img52,25 0,0.25_0.75
mixed_img53,25 0,0.25_0.75
mixed_img54,25 0,0.25_0.75
mixed_img55,25 0,0.25_0.75
mixed_img56,25 0,0.25_0.75
mixed_img57,25 0,0.25_0.75
mixed_img58,25 0,0.25_0.75
mixed_img59,25 0,0.25_0.75
mixed_img60,25 0,0.25_0.75
mixed_img61,25 0,0.25_0.75
mixed_img62,25 0,0.25_0.75
mixed_img63,25 0,0.25_0.75
mixed_img64,25 0,0.25_0.75
mixed_img65,25 0,0.25_0.75
mixed_img66,25 0,0.25_0.75
mixed_img67,25 0,0.25_0.75
mixed_img68,25 0,0.25_0.75
mixed_img69,25 0,0.25_0.75
mixed_img70,25 0,0.25_0.75
mixed_img71,25 0,0.5_0.5
mixed_img72,25 0,0.5_0.5
mixed_img73,25 0,0.5_0.5
mixed_img74,25 0,0.5_0.5
mixed_img75,25 0,0.5_0.5
mixed_img76,25 0,0.5_0.5
mixed_img77,25 0,0.5_0.5
mixed_img78,25 0,0.5_0.5
mixed_img79,25 0,0.5_0.5
mixed_img80,25 0,0.5_0.5
mixed_img81,25 0,0.5_0.5
mixed_img82,25 0,0.5_0.5
mixed_img83,25 0,0.5_0.5
mixed_img84,25 0,0.5_0.5
mixed_img85,25 0,0.5_0.5
mixed_img86,25 0,0.5_0.5
mixed_img87,25 0,0.5_0.5
mixed_img88,25 0,0.5_0.5
mixed_img89,25 0,0.5_0.5
mixed_img90,25 0,0.5_0.5
mixed_img91,25 0,0.5_0.5
mixed_img92,25 0,0.5_0.5
mixed_img93,25 0,0.5_0.5
mixed_img94,25 0,0.5_0.5
mixed_img95,25 0,0.5_0.5
mixed_img96,25 0,0.5_0.5
mixed_img97,25 0,0.5_0.5
mixed_img98,25 0,0.5_0.5
mixed_img99,25 0,0.5_0.5
mixed_img100,25 0,0.5_0.5
mixed_img101,25 0,0.5_0.5
mixed_img102,25 0,0.5_0.5
mixed_img103,25 0,0.5_0.5
mixed_img104,25 0,0.5_0.5
mixed_img105,25 0,0.5_0.5
mixed_img106,25 0,0.5_0.5
mixed_img107,25 0,0.5_0.5
mixed_img108,25 0,0.5_0.5
mixed_img109,25 0,0.5_0.5
mixed_img110,25 0,0.5_0.5
mixed_img111,25 0,0.5_0.5
mixed_img112,25 0,0.5_0.5
mixed_img113,25 0,0.5_0.5
mixed_img114,25 0,0.5_0.5
mixed_img115,25 0,0.5_0.5
mixed_img116,25 0,0.75_0.25
mixed_img117,25 0,0.75_0.25
mixed_img118,25 0,0.75_0.25
mixed_img119,25 0,0.75_0.25
mixed_img120,25 0,0.75_0.25
mixed_img121,25 0,0.75_0.25
mixed_img122,25 0,0.75_0.25
mixed_img123,25 0,0.75_0.25
mixed_img124,25 0,0.75_0.25
mixed_img125,25 0,0.75_0.25
mixed_img126,25 0,0.75_0.25
mixed_img127,25 0,0.75_0.25
mixed_img128,25 0,0.75_0.25
mixed_img129,25 0,0.75_0.25
mixed_img130,25 0,0.75_0.25
mixed_img131,25 0,0.75_0.25
mixed_img132,25 0,0.75_0.25
mixed_img133,25 0,0.75_0.25
mixed_img134,25 0,0.75_0.25
mixed_img135,25 0,0.75_0.25
mixed_img136,25 0,0.75_0.25
mixed_img137,25 0,0.75_0.25
mixed_img138,25 0,0.75_0.25
mixed_img139,25 0,0.75_0.25
mixed_img140,25 0,0.75_0.25
mixed_img141,25 0,0.75_0.25
mixed_img142,25 0,0.75_0.25
mixed_img143,25 0,0.75_0.25
mixed_img144,25 0,0.75_0.25
mixed_img145,25 0,0.75_0.25
mixed_img146,25 0,0.75_0.25
mixed_img147,25 0,0.75_0.25
mixed_img148,25 0,0.75_0.25
mixed_img149,25 0,0.75_0.25
mixed_img150,25 0,0.75_0.25
mixed_img151,25 0,0.75_0.25
mixed_img152,25 0,0.75_0.25
mixed_img153,25 0,0.75_0.25
mixed_img154,25 0,0.75_0.25
mixed_img155,25 0,0.75_0.25
mixed_img156,25 0,0.75_0.25
mixed_img157,25 0,0.75_0.25
mixed_img158,25 0,0.75_0.25
mixed_img159,25 0,0.75_0.25
mixed_img160,25 0,0.75_0.25
mixed_img161,0,0_1
mixed_img162,0,0_1
mixed_img163,0,0_1
mixed_img164,0,0_1
mixed_img165,0,0_1
mixed_img166,0,0_1
mixed_img167,0,0_1
mixed_img168,0,0_1
mixed_img169,0,0_1
mixed_img170,0,0_1
mixed_img171,0,0_1
mixed_img172,0,0_1
mixed_img173,0,0_1
mixed_img174,0,0_1
mixed_img175,0,0_1
mixed_img176,0,0_1
mixed_img177,0,0_1
mixed_img178,0,0_1
mixed_img179,0,0_1
mixed_img180,0,0_1
mixed_img181,0,0_1
mixed_img182,0,0_1
mixed_img183,0,0_1
mixed_img184,0,0_1
mixed_img185,0,0_1
mixed_img186,0,0_1
